pair,criterion,judge,score
1,Program,1,5.6
1,Performance,1,5.6
2,Program,1,5.5
2,Performance,1,5.5
3,Program,1,6
3,Performance,1,6
4,Program,1,5.6
4,Performance,1,5.6
5,Program,1,5.4
5,Performance,1,4.8
6,Program,1,5.2
6,Performance,1,4.8
7,Program,1,4.8
7,Performance,1,4.3
1,Program,2,5.5
1,Performance,2,5.5
2,Program,2,5.2
2,Performance,2,5.7
3,Program,2,5.3
3,Performance,2,5.5
4,Program,2,5.3
4,Performance,2,5.3
5,Program,2,4.5
5,Performance,2,4.8
6,Program,2,5.1
6,Performance,2,5.6
7,Program,2,4
7,Performance,2,4.6
1,Program,3,5.8
1,Performance,3,5.8
2,Program,3,5.8
2,Performance,3,5.6
3,Program,3,5.8
3,Performance,3,5.7
4,Program,3,5.8
4,Performance,3,5.8
5,Program,3,5.8
5,Performance,3,5.5
6,Program,3,5.3
6,Performance,3,5
7,Program,3,4.7
7,Performance,3,4.5
1,Program,4,5.3
1,Performance,4,4.7
2,Program,4,5.8
2,Performance,4,5.4
3,Program,4,5
3,Performance,4,4.9
4,Program,4,4.4
4,Performance,4,4.8
5,Program,4,4
5,Performance,4,4.4
6,Program,4,5.4
6,Performance,4,4.7
7,Program,4,4
7,Performance,4,4
1,Program,5,5.6
1,Performance,5,5.7
2,Program,5,5.6
2,Performance,5,5.5
3,Program,5,5.4
3,Performance,5,5.5
4,Program,5,4.5
4,Performance,5,4.5
5,Program,5,5.5
5,Performance,5,4.6
6,Program,5,4.5
6,Performance,5,4
7,Program,5,3.7
7,Performance,5,3.6
1,Program,6,5.2
1,Performance,6,5.3
2,Program,6,5.1
2,Performance,6,5.3
3,Program,6,5.1
3,Performance,6,5.2
4,Program,6,5
4,Performance,6,5
5,Program,6,4.8
5,Performance,6,4.8
6,Program,6,4.5
6,Performance,6,4.6
7,Program,6,4
7,Performance,6,4
1,Program,7,5.7
1,Performance,7,5.4
2,Program,7,5.8
2,Performance,7,5.7
3,Program,7,5.3
3,Performance,7,5.7
4,Program,7,5.1
4,Performance,7,5.5
5,Program,7,5.5
5,Performance,7,5.2
6,Program,7,5
6,Performance,7,5.2
7,Program,7,4.8
7,Performance,7,4.8
