BibliographyType,ISBN,Identifier,aut1,aut2,aut3,aut4,aut5,aut6,aut7,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,,Ashby:1962aa,"Ashby, W. C. ", others,,,,,,"Ashby, W. C. & others",Germination capacity in American Basswood [Tilia americana].,Transactions of the Illinois State Academy of Science,55,2,,120--3,1962,,,,,,,,,,,,,,,,,,ashby62,,
7,,Basler:2014aa,"Basler, David ", Korner,,,,,,"Basler, David & Korner"," Christian""",Photoperiod and temperature responses of bud swelling and bud burst in four temperate forest tree species,Tree physiology,34,4,377-388,2014,,,,,,,,,,,,,,,http://treephys.oxfordjournals.org/content/34/4/377.full.pdf,,,basler14,,
7,,Basler:2012,"Basler, David ", Korner,,,,,,"Basler, David & Korner"," Christian""",Photoperiod sensitivity of bud burst in 14 temperate forest tree species,Agricultural and Forest Meteorology,165,,73--81,2012,,,,,,,,,Elsevier,,,,,,,,,basler12,,
7,,Bernier:1993aa,"Bernier, Georges"," Havelange, Andree"," Houssa, Claude"," Petitjean, Anne "," Lejeune, Pierre",,,"Bernier, Georges; Havelange, Andree; Houssa, Claude; Petitjean, Anne & Lejeune, Pierre",Physiological signals that induce flowering.,The Plant Cell,5,10,,1147,1993,,,,,,,,,American Society of Plant Biologists,,,,,,,,,bernier81,,
6,,Biasi:2012,"Biasi, L. A."," Zanette, F. "," Carvalho, R. I. N.",,,,,"Biasi, L. A.; Zanette, F. & Carvalho, R. I. N.",Dormancy Dynamics of Grape and Kiwifruit Buds in a Region of Low Chill Occurrence,,,,,507--512,2012,,,,XXVIII International Horticultural Congress on Science and Horticulture for People (IHC2010): International Symposium on Plant 932,,,,,,,,,,,,,,biasi12,,
7,,Biran:1973aa,"Biran, I. "," Halevy, A. H.",,,,,,"Biran, I. & Halevy, A. H.",The relationship between rooting of dahlia cuttings and the presence and type of bud,Physiologia Plantarum,28,2,,244--247,1973,,,,,,,,,Wiley Online Library,,,,,,,,,biran73,,
7,,Boyer:1986,"Boyer, J. N. "," South, D. B.",,,,,,"Boyer, J. N. & South, D. B.","Dormancy, chilling requirements, and storability of container-grown loblolly pine seedlings",,,,,,1986,,,,,,,,,"Dept. of Research Information, Auburn University",,,,,,,,,boyer,,
7,,Bradford:2010aa,"Bradford, Emma"," Hancock, James F. "," Warner, Ryan M.",,,,,"Bradford, Emma; Hancock, James F. & Warner, Ryan M.",Interactions of temperature and photoperiod determine expression of repeat flowering in strawberry,Journal of the American Society for Horticultural Science,135,2,,102--107,2010,,,,,,,,,American Society for Horticultural Science,,,,,,,,,bradford10,,
7,,Caffarra:2011a,"Caffarra, Amelia "," Donnelly, Alison",,,,,,"Caffarra, Amelia & Donnelly, Alison",The ecological significance of phenology in four different tree species: effects of light and temperature on bud burst,International journal of Biometeorology,55,5,,711--721,2011,,,,,,,,,Springer,,,,,,,,,caffarra11a,,
7,,Caffarra:2011b,"Caffarra, Amelia"," Donnelly, Alison"," Chuine, Isabelle "," Jones, Mike B.",,,,"Caffarra, Amelia; Donnelly, Alison; Chuine, Isabelle & Jones, Mike B.",Modelling the timing of Betula pubescens bud-burst. I. Temperature and photoperiod: A conceptual model,Climate Research,46,2,,147,2011,,,,,,,,,,,,,,,,,,caffarra11b,,
7,,Calme:1994aa,"Calme, Sophie"," Bigras, Francine J."," Margolis, Hank A. "," Hebert, Carole",,,,"Calme, Sophie; Bigras, Francine J.; Margolis, Hank A. & Hebert, Carole","Frost tolerance and bud dormancy of container-grown yellow birch, red oak and sugar maple seedlings",Tree physiology,14,12,,1313--1325,1994,,,,,,,,,Oxford University Press,,,,,,,,,calme94,,
7,,Campbell:1975aa,"Campbell, Robert K. "," Sugano, Albert I.",,,,,,"Campbell, Robert K. & Sugano, Albert I.","Phenology of bud burst in Douglas-fir related to provenance, photoperiod, chilling, and flushing temperature",Botanical Gazette,,,,290--298,1975,,,,,,,,,JSTOR,,,,,,,,,campbell75,,
7,,Cannell:1986aa,"Cannell, M. G. R. "," Smith, R. I.",,,,,,"Cannell, M. G. R. & Smith, R. I.","Climatic warming, spring budburst and forest damage on trees",Journal of Applied Ecology,,,,177-191,1986,,,,,,,,,,,,,,,,,,cannell83,,
7,,Cannell:1983,"Cannell, M. G. R. "," Smith, R. I.",,,,,,"Cannell, M. G. R. & Smith, R. I.","Thermal time, chill days and prediction of budburst in Picea sitchensis",Journal of applied Ecology,,,,951--963,1983,,,,,,,,,JSTOR,,,,,,,,,cannell83,,
7,,Charrier:2011aa,"Charrier, Guillaume"," Bonhomme, Marc"," Lacointe, Andre "," Ameglio, Thierry",,,,"Charrier, Guillaume; Bonhomme, Marc; Lacointe, Andre & Ameglio, Thierry","Are budburst dates, dormancy and cold acclimation in walnut trees (Juglans regia L.) under mainly genotypic or environmental control?",International journal of biometeorology,55,6,,763-774,2011,,,http://link.springer.com/article/10.1007%2Fs00484-011-0470-1,,,,,,,,,,,,,,,charrier11,,
7,,Chavarria:2009aa,"Chavarria, Geraldo"," Herter, Flavio Gilberto"," Raseira, Maria do Carmo Bassols"," Rodrigues, Alexandre Couto"," Reisser, Carlos "," Silva, Jo~ao Baptista da",,"Chavarria, Geraldo; Herter, Flavio Gilberto; Raseira, Maria do Carmo Bassols; Rodrigues, Alexandre Couto; Reisser, Carlos & Silva, Jo~ao Baptista da",Mild temperatures on bud breaking dormancy in peaches,Ci{\^e}ncia Rural,39,7,,2016--2021,2009,,,,,,,,,SciELO Brasil,,,,,,,,,chavarria09,,
7,,Cook:2000aa,"Cook, C. "," Jacobs, Gerard",,,,,,"Cook, C. & Jacobs, Gerard",Progression of apple (Malus$\times$ domestica Borkh.) bud dormancy in two mild winter climates,The Journal of Horticultural Science and Biotechnology,75,2,,233--236,2000,,,,,,,,,Taylor \& Francis,,,,,,,,,cook00b,,
