year,tree.id,species,bb.doy,l75.doy,fbb.doy,fopn.doy
1990,ACPE-01,ACPE,121,145,136,136
1991,ACPE-01,ACPE,119,148,124,129
1992,ACPE-01,ACPE,134,154,134,138
1993,ACPE-01,ACPE,116,142,130,130
1994,ACPE-01,ACPE,121,144,134,135
1995,ACPE-01,ACPE,126,145,134,138
1996,ACPE-01,ACPE,125,147,136,141
1997,ACPE-01,ACPE,129,151,138,141
1998,ACPE-01,ACPE,111,133,122,125
1999,ACPE-01,ACPE,120,138,NA,NA
2000,ACPE-01,ACPE,125,141,128,130
2001,ACPE-01,ACPE,123,140,NA,NA
2002,ACPE-01,ACPE,110,144,128,128
2003,ACPE-01,ACPE,127,149,132,137
2004,ACPE-01,ACPE,122,138,123,127
2005,ACPE-01,ACPE,128,155,132,132
2006,ACPE-01,ACPE,122,148,126,127
2007,ACPE-01,ACPE,126,144,130,131
2008,ACPE-01,ACPE,122,147,130,130
2009,ACPE-01,ACPE,119,140,119,123
2010,ACPE-01,ACPE,107,135,112,115
2011,ACPE-01,ACPE,125,150,128,132
2012,ACPE-01,ACPE,107,139,112,112
2013,ACPE-01,ACPE,124,141,128,128
2014,ACPE-01,ACPE,130,148,130,133
2015,ACPE-01,ACPE,126,150,129,129
2016,ACPE-01,ACPE,127,149,133,133
2017,ACPE-01,ACPE,118,144,122,124
2018,ACPE-01,ACPE,126,145,130,130
2019,ACPE-01,ACPE,127,146,128,131
2020,ACPE-01,ACPE,133,153,137,140
2021,ACPE-01,ACPE,120,147,125,129
1990,ACPE-02,ACPE,126,145,136,136
1991,ACPE-02,ACPE,119,148,128,132
1992,ACPE-02,ACPE,138,187,138,138
1993,ACPE-02,ACPE,123,146,130,130
1994,ACPE-02,ACPE,127,149,127,140
1995,ACPE-02,ACPE,128,150,139,139
1996,ACPE-02,ACPE,132,147,140,141
1997,ACPE-02,ACPE,134,151,144,144
1998,ACPE-02,ACPE,119,138,126,127
1999,ACPE-02,ACPE,125,143,144,144
2000,ACPE-02,ACPE,128,154,128,131
2001,ACPE-02,ACPE,124,143,124,128
2002,ACPE-02,ACPE,122,148,128,131
2003,ACPE-02,ACPE,132,154,132,138
2004,ACPE-02,ACPE,126,144,128,132
2005,ACPE-02,ACPE,132,157,132,134
2006,ACPE-02,ACPE,127,150,126,133
2007,ACPE-02,ACPE,130,148,130,135
2008,ACPE-02,ACPE,129,150,130,133
2009,ACPE-02,ACPE,122,145,122,129
2010,ACPE-02,ACPE,114,135,116,121
2011,ACPE-02,ACPE,130,150,132,136
2012,ACPE-02,ACPE,113,139,118,124
2013,ACPE-02,ACPE,127,146,128,130
2014,ACPE-02,ACPE,133,150,134,137
2015,ACPE-02,ACPE,129,149,129,130
2016,ACPE-02,ACPE,133,154,133,137
2017,ACPE-02,ACPE,122,151,127,130
2018,ACPE-02,ACPE,127,149,130,131
2019,ACPE-02,ACPE,129,151,134,138
2020,ACPE-02,ACPE,137,152,137,144
2021,ACPE-02,ACPE,124,146,125,130
1990,ACPE-03,ACPE,124,143,153,153
1991,ACPE-03,ACPE,119,146,NA,NA
1992,ACPE-03,ACPE,134,154,141,141
1993,ACPE-03,ACPE,120,146,NA,NA
1994,ACPE-03,ACPE,127,148,134,141
1995,ACPE-03,ACPE,126,145,NA,NA
1996,ACPE-03,ACPE,132,148,140,141
1997,ACPE-03,ACPE,134,152,144,144
1998,ACPE-03,ACPE,122,139,126,127
1999,ACPE-03,ACPE,125,145,NA,NA
2000,ACPE-03,ACPE,128,151,130,133
2001,ACPE-03,ACPE,124,143,NA,NA
2002,ACPE-03,ACPE,121,147,128,137
2003,ACPE-03,ACPE,132,153,132,138
2004,ACPE-03,ACPE,123,140,128,NA
2005,ACPE-03,ACPE,132,156,NA,NA
2006,ACPE-03,ACPE,126,150,134,135
2007,ACPE-03,ACPE,129,148,NA,NA
2008,ACPE-03,ACPE,130,149,134,134
2009,ACPE-03,ACPE,120,145,126,128
2010,ACPE-03,ACPE,115,136,116,121
2011,ACPE-03,ACPE,128,150,132,136
2012,ACPE-03,ACPE,112,141,124,125
2013,ACPE-03,ACPE,128,151,128,132
2014,ACPE-03,ACPE,133,154,138,138
2015,ACPE-03,ACPE,129,149,129,131
2016,ACPE-03,ACPE,131,152,133,136
2017,ACPE-03,ACPE,124,147,133,134
2018,ACPE-03,ACPE,128,149,134,134
2019,ACPE-03,ACPE,131,152,138,139
2020,ACPE-03,ACPE,137,153,150,151
2021,ACPE-03,ACPE,125,152,130,133
1990,ACPE-04,ACPE,129,158,141,146
1991,ACPE-04,ACPE,119,148,NA,NA
1992,ACPE-04,ACPE,138,157,141,141
1993,ACPE-04,ACPE,123,151,130,130
1994,ACPE-04,ACPE,135,151,134,141
1995,ACPE-04,ACPE,131,150,139,140
1996,ACPE-04,ACPE,137,152,140,144
1997,ACPE-04,ACPE,136,153,144,151
1998,ACPE-04,ACPE,120,139,126,127
1999,ACPE-04,ACPE,128,144,NA,NA
2000,ACPE-04,ACPE,128,149,130,136
2001,ACPE-04,ACPE,127,145,NA,NA
2002,ACPE-04,ACPE,131,150,136,137
2003,ACPE-04,ACPE,137,154,138,139
2004,ACPE-04,ACPE,128,140,133,130
2005,ACPE-04,ACPE,132,156,NA,NA
2006,ACPE-04,ACPE,130,150,NA,NA
2007,ACPE-04,ACPE,130,148,NA,NA
2008,ACPE-04,ACPE,130,149,134,134
2009,ACPE-04,ACPE,125,144,129,129
2010,ACPE-04,ACPE,119,135,NA,NA
2011,ACPE-04,ACPE,130,145,136,136
2012,ACPE-04,ACPE,117,141,NA,NA
2013,ACPE-04,ACPE,128,145,132,136
2014,ACPE-04,ACPE,135,148,NA,NA
2015,ACPE-04,ACPE,129,146,NA,NA
2016,ACPE-04,ACPE,133,151,NA,NA
2017,ACPE-04,ACPE,128,152,NA,NA
2018,ACPE-04,ACPE,130,150,NA,NA
2019,ACPE-04,ACPE,134,153,138,139
2020,ACPE-04,ACPE,137,153,NA,NA
2021,ACPE-04,ACPE,129,148,130,131
1990,ACRU-01,ACRU,121,154,104,107
1991,ACRU-01,ACRU,129,150,97,97
1992,ACRU-01,ACRU,138,172,112,116
1993,ACRU-01,ACRU,120,151,108,111
1994,ACRU-01,ACRU,135,147,103,113
1995,ACRU-01,ACRU,130,149,114,117
1996,ACRU-01,ACRU,119,148,102,113
1997,ACRU-01,ACRU,137,152,113,113
1998,ACRU-01,ACRU,125,139,93,95
1999,ACRU-01,ACRU,130,144,95,102
2000,ACRU-01,ACRU,131,153,93,99
2001,ACRU-01,ACRU,124,141,110,115
2002,ACRU-01,ACRU,132,148,100,101
2003,ACRU-01,ACRU,139,154,108,109
2004,ACRU-01,ACRU,132,142,106,110
2005,ACRU-01,ACRU,134,156,100,107
2006,ACRU-01,ACRU,138,151,95,104
2007,ACRU-01,ACRU,133,147,112,112
2008,ACRU-01,ACRU,133,149,111,111
2009,ACRU-01,ACRU,129,145,102,114
2010,ACRU-01,ACRU,121,138,94,95
2011,ACRU-01,ACRU,133,150,108,113
2012,ACRU-01,ACRU,125,142,82,82
2013,ACRU-01,ACRU,129,145,104,110
2014,ACRU-01,ACRU,137,153,111,112
2015,ACRU-01,ACRU,132,147,110,110
2016,ACRU-01,ACRU,136,150,90,97
2017,ACRU-01,ACRU,137,150,104,104
2018,ACRU-01,ACRU,133,149,112,117
2019,ACRU-01,ACRU,139,153,110,110
2020,ACRU-01,ACRU,142,153,94,101
2021,ACRU-01,ACRU,136,153,94,95
1990,ACRU-02,ACRU,120,147,96,108
1991,ACRU-02,ACRU,119,150,97,97
1992,ACRU-02,ACRU,131,157,112,116
1993,ACRU-02,ACRU,119,146,108,112
1994,ACRU-02,ACRU,125,148,108,114
1995,ACRU-02,ACRU,126,149,108,116
1996,ACRU-02,ACRU,125,147,102,113
1997,ACRU-02,ACRU,132,152,113,115
1998,ACRU-02,ACRU,120,138,93,97
1999,ACRU-02,ACRU,126,150,100,104
2000,ACRU-02,ACRU,130,151,93,102
2001,ACRU-02,ACRU,123,140,110,115
2002,ACRU-02,ACRU,127,147,100,107
2003,ACRU-02,ACRU,133,154,108,113
2004,ACRU-02,ACRU,125,142,106,111
2005,ACRU-02,ACRU,131,156,106,107
2006,ACRU-02,ACRU,128,150,95,104
2007,ACRU-02,ACRU,130,145,112,112
2008,ACRU-02,ACRU,128,148,111,111
2009,ACRU-02,ACRU,122,144,102,110
2010,ACRU-02,ACRU,113,135,94,95
2011,ACRU-02,ACRU,128,150,108,113
2012,ACRU-02,ACRU,113,143,82,86
2013,ACRU-02,ACRU,125,146,110,112
2014,ACRU-02,ACRU,134,153,111,111
2015,ACRU-02,ACRU,130,146,110,115
2016,ACRU-02,ACRU,133,150,90,101
2017,ACRU-02,ACRU,128,151,104,104
2018,ACRU-02,ACRU,127,149,112,120
2019,ACRU-02,ACRU,128,152,110,110
2020,ACRU-02,ACRU,137,153,102,102
2021,ACRU-02,ACRU,130,152,94,101
1990,ACRU-03,ACRU,132,158,104,118
1991,ACRU-03,ACRU,125,150,100,104
1992,ACRU-03,ACRU,138,172,120,124
1993,ACRU-03,ACRU,125,151,108,114
1994,ACRU-03,ACRU,135,147,108,114
1995,ACRU-03,ACRU,139,150,120,127
1996,ACRU-03,ACRU,132,148,111,115
1997,ACRU-03,ACRU,139,155,108,113
1998,ACRU-03,ACRU,122,141,93,97
1999,ACRU-03,ACRU,129,149,100,105
2000,ACRU-03,ACRU,130,156,93,94
2001,ACRU-03,ACRU,124,142,110,114
2002,ACRU-03,ACRU,131,151,100,103
2003,ACRU-03,ACRU,136,155,108,114
2004,ACRU-03,ACRU,128,143,106,108
2005,ACRU-03,ACRU,133,156,100,109
2006,ACRU-03,ACRU,129,150,95,108
2007,ACRU-03,ACRU,130,148,112,116
2008,ACRU-03,ACRU,131,153,104,111
2009,ACRU-03,ACRU,124,145,109,115
2010,ACRU-03,ACRU,116,135,94,99
2011,ACRU-03,ACRU,128,150,108,114
