"","yvar","climate"
"1",89,6.77833318182578
"2",84,8.11184192394935
"3",95,8.2495612191167
"4",100,6.67771914898696
"5",105,6.51763143326695
"6",111,5.42122794900155
"7",103,9.18306997018098
"8",102,6.35421038428812
"9",102,8.53578928289445
"10",103,6.82052616333883
"11",101,4.94622795961863
"12",100,6.20543845778887
"13",106,5.99052618189078
"14",100,5.05271918530854
"15",103,5.05324550108625
"16",109,3.76105254751287
"17",96,7.46614018399595
"18",102,4.76991217408591
"19",98,6.7432454633118
"20",105,4.86903497888788
"21",90,5.17631567377401
"22",110,6.6582454652117
"23",104,6.3845612608027
"24",110,5.21605251499109
"25",110,5.42587707170465
"26",102,3.62999991886318
"27",94,7.58999983035028
"28",96,5.09052620200734
"29",120,7.36999983526766
"30",111,5.45807005344122
"31",114,6.319385823663
"32",95,7.40605246604077
"33",108,7.47140334177304
"34",103,6.1703507392749
"35",101,5.39780689689347
"36",114,4.49657884686205
"37",99,8.22850858800832
"38",106,5.86824548286958
"39",98,7.82245596550536
"40",101,6.16692968671978
"41",114,5.15964900747987
"42",96,6.78956125175025
"43",100,6.94780686224827
"44",100,6.0527191629568
"45",103,6.12096477546647
"46",106,3.73999991640448
"47",100,7.75692965118051
"48",108,4.92614024076938
"49",99,7.57438579561156
"50",103,5.67236829426532
"51",101,7.05114019327193
"52",92,8.38552612835836
"53",104,8.4545612145346
"54",94,7.29070159142608
"55",94,7.30359632797997
"56",107,5.773245484993
"57",98,9.35114014186292
"58",102,6.75359634027343
"59",95,8.96824541357917
"60",98,7.19289457606838
"61",99,6.29692968381405
"62",93,7.10508756048716
"63",104,6.93333317836125
"64",105,5.64631566326869
"65",106,5.15105251644395
"66",114,4.34824551684422
"67",102,7.84868403509455
"68",107,5.62929811978941
"69",104,7.24359632932107
"70",109,5.94491214782261
"71",113,4.89763146947677
"72",97,5.87157881612841
"73",111,4.86903497888788
"74",101,4.28368411477851
"75",106,3.42771922163012
"76",114,2.75254379812497
"77",100,7.39570158907915
"78",107,4.90201743429102
"79",101,6.59482441399769
"80",107,4.69140340391089
"81",117,4.95701743306167
"82",105,6.41885950565011
"83",110,6.07008758362121
"84",110,5.26245602272582
"85",107,5.26578935598465
"86",115,3.1640350169976
"87",101,6.90894721399404
