"","bb_date","complete"
"1",28,5.76174024447264
"2",20,7.49345020149827
"3",25,6.21171657832087
"4",27,5.65358054094625
"5",27,NA
"6",23,NA
"7",22,NA
"8",27,NA
"9",23,NA
"10",25,NA
"11",26,NA
"12",27,NA
"13",23,NA
"14",30,NA
"15",28,NA
"16",25,NA
"17",26,NA
"18",26,NA
"19",28,NA
"20",23,NA
"21",25,NA
"22",28,NA
"23",26,NA
"24",26,NA
"25",28,NA
"26",24,NA
"27",24,NA
"28",25,NA
"29",25,NA
"30",26,NA
"31",22,NA
"32",27,NA
"33",25,NA
"34",25,NA
"35",24,NA
"36",20,NA
"37",21,NA
"38",20,NA
"39",21,NA
"40",23,NA
"41",22,NA
"42",22,NA
"43",21,NA
"44",19,NA
"45",22,NA
"46",22,NA
"47",21,NA
"48",20,NA
"49",25,NA
"50",25,NA
"51",18,NA
"52",23,NA
"53",24,NA
"54",23,NA
"55",22,NA
"56",22,NA
"57",22,NA
"58",22,NA
"59",22,NA
"60",22,NA
"61",24,NA
"62",18,NA
"63",24,NA
"64",23,NA
"65",23,NA
"66",23,NA
"67",21,NA
"68",27,NA
