datasetID,Filename,Author,Year,Title,Journal,Volume,Pages,AssignedTo,EnteredBy,ToDo,Notes,URL,Var,Status,BBCH,Woody,Spp,Measurement Notes
aalders64,,"AALDERS, L. E.; HALL, I. V.",1964,"A comparison of flower-bud development in the lowbush blueberry, Vaccinium angustifolium Ait. under greenhouse and field conditions",PROC AMER SOC HORT SCI,85,281-284,,,,ILL request,,,,,,,
andreini10,,"Andreini, L. et al. ",2010,Morpho-Anatomical Observations during Bud Break in Vitis vinifera L,Viii Int Symp,872,,,,,,,,,,,,
augspurger09,Augspurger_2009_FunctEcology.pdf,"Augspurger, C.K.",2009,"Spring 2007 warmth and frost: phenology, damage and refoliation in a temperate deciuous forest",Functional Ecology,23,1031-1039,AE,,,,,phenological stage,k,Y,,,
bailey06,Bailey_2006_TreePhys.pdf,"Bailey, J.D. et al.",2006,"Temperature regulation of bud-burst phenology within and among years in a young Douglas-fir (Pseudotsuga menziesii) plantation in western Washington, USA ",Tree Physiology,26,421-430,DF,,,table 1 contains measurement key,,daystobudburst,k,y,,,
basler12,Basler_2012_AgrForMet.pdf,"Basler D, Körner C",2012,Photoperiod sensitivity of bud burst in 14 temperate forest tree species,Agricultural and Forest Meteorology,165,73-81,,TS,"Fig 3, Fig 4","Scraped, need to fill in ""study"" details sheet",,daystobudburst,e,y,y,,
basler14,Basler_2014_TreePhys.pdf,"Basler D, Körner C",2014,Photoperiod and temperature responses of bud swelling and bud burst in four temperate forest tree species,Tree Physiology,34,377–388,,TS,Entering into data_simple 02-02,measurement key highlighted on pg 379 ,,daystobudburst,e,y,y,,
bauerle12,Bauerle_2012_PNAS.pdf,"Bauerle, W.L. et al.",2012,"Photoperiodic regulation of the seasonal pattern
of photosynthetic capacity and the implications
for carbon cycling",PNAS,109,8612–8617,,,,"More concerned with photosynthetic capacity. ""Bud"" only mentioned once in paper.",,"photosynthetic capacity, LSI",n,n,,,
bernier81,,"Bernier G, Kinet JM, Sachs RM",1981,"The Physiology of Flowering, Vol. 1","CRC Press, Boca Raton ",,,,TS,,"From CRC handbook, pdf of one figure",,,e,,,,
besford96,Besford_1996_TreePhys.pdf,Besford et al.,1996,Photoperiod effect on bud burst in Prunus is phase dependent: significance for early photosynthetic development,Tree Physiology,16,491-496,,TS,Table 1,,,percentbudburst,e,y,,,
biasi12,Biasi_2012_Actahort.pdf,"Biasi, LA, Zanette F, Carvalho RIN",2012,Dormancy Dynamics of Grape and Kiwifruit Buds in a Region of Low Chill Occurrence,Acta Horticulturae,932,507-512,DF,DF,,"Data displayed in tables at end of paper, not charts",,"average budbreak time, final budbreak rate",k,m,y,"Niagara branca grape, Bruno kiwifruit",
biran73,Biran_1973_PhysiolPlant.pdf,"Biran I, Halevy AH",1973,The relationship between rooting of Dahlia cuttings and the presence and type of bud ,Physiologia Plantarum,28,244-247,DF,DF,,,,budlength,k,n,n,Dahlia,
blackman11,Blackman_etal_2011.pdf,Blackman et al.,2011,Connecting the sun to flowering in sunflower adaptation,Molecular Ecology,20,3503-3512,,,Fig 1b,"More concerned with particular trait, gene expression",,trait expression,n,n,n,Sunflower,
burner14,Burner_2014_AgroforestSystms.pdf,"Burner, M.D. et al.",2014,Phenological responses of juvenile pecan and white oak on an upland site,Agroforest Syst,88,141-155,AE,,,Test of an upland site,,daystobudburst,k,n,y,"Carya illinoiensis, Quercus alba",
caffarra11b,Caffarra_2011_ClimRes.pdf,"Caffarra, A. et al.",2011,Modelling the timing of Betula pubescens budburst. I. Temperature and photoperiod: a conceptual model,Clim Res,46,147-157,,TS,,,,daystobudburst,e,y,y,Betula pubescens,
cafferra11a,Caffarra_2011_IntJBiometeor.pdf,"Caffarra A, Donnelly A",2011,The ecological significance of phenology in four different tree species: effects of light and temperature on bud burst,Int J Biomet,55,711-721,,TS,"Fig 1, Fig 2, Fig 3, Fig 4",First entry of summer 2015. Added a Study column to data sheets.,,"daystobudburst, percentbudburst",e,m,y,"Betula pubescens, Salix smithiana, Fagus sylvatica, Tilia cordata",
campbell75,Campbell_1975_BotGaz.pdf,"Campbell RK, Sugano AI",1975,"Phenology of bud burst in Douglas-fir related provenance, photoperiod, chilling, and flushing temperature",Botanical Gazette,136(3),290-298,EMW,EMW,,,,daystobudburst,k,m,y,Pseudotsuga menziesii,
campoy10,Campoy_2010_SAJrnlBotany.pdf,"Campoy, J.A. et al.",2010,Clinical variation of dormancy progression in apricot,SA J Botany,77,618-630,BF,,,,,daystobudburst,k,y,y,Apricot,
campoy11,Campoy_2011_ScientiaHort.pdf,"Campoy, J.A. et al.",2011,High temperatures and time to budbreak in low chill apricot ‘Palsteyn’. Towards a better understanding of chill and heat requirements fulfilment,Sci Hort,129,649-655,JS,,,,,daystobudburst,k,y,y,Apricot,
