Genus,Species,Accepted_genus,Accepted_species,Family,Notes
Abies,alba,Abies,alba,Pinaceae,
Abies,homolepis,Abies,homolepis,Pinaceae,
Acer,negundo,Acer,negundo,Sapindaceae,
Ace,neg,Acer,negundo,Sapindaceae,
Acer,pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,
Acer,psuedoplatanus,Acer,psuedoplatanus,Sapindaceae,
Ace,pse,Acer,psuedoplatanus,Sapindaceae,
Acer,saccharum,Acer,saccharum,Sapindaceae,
Acer,tataricum,Acer,tataricum,Sapindaceae,
Actinidia,deliciosa,Actinidia,deliciosa,Actinidiaceae,
Aesculus,hippocastanum,Aesculus,hippocastanum,Sapindaceae,
Alnus,glutinosa,Alnus,glutinosa,Betulaceae,
Amorpha,fruticosa,Amorpha,fruticosa,Leguminosae,
Betula,alleghaniensis,Betula,alleghaniensis,Betulaceae,
Betula,ermanii,Betula,ermanii,Betulaceae,
Betula,occidentalis,Betula,occidentalis,Betulaceae
Betula,pendula,Betula,pendula,Betulaceae
Betula,pendula,Betula,pendula,Betulaceae
Betula,pubescens,Betula,pubescens,Betulaceae
Betula,"pendula,pubescens",Betula,spp,Betulaceae
Carpinus,betulus,Carpinus,betulus,Betulaceae
Colchicum,tunicatum,Colchicum,tunicatum,Colchicaceae
Cornus,alba,Cornus,alba,Cornaceae
Cornus,mas,Cornus,mas,Cornaceae
Corylus,avellana,Corylus,avellana,Betulaceae
Dahlia,pinnata,Dahlia,pinnata,Compositae
Fagus,sylvatica,Fagus,sylvatica,Fagaceae
Fagus,sylvatica,Fagus,sylvatica,Fagaceae
Fraxinus,chinensis,Fraxinus,chinensis,Oleaceae
Fraxinus,excelsior,Fraxinus,excelsior,Oleaceae
Fraxinus,pennsylvanica,Fraxinus,pennsylvanica,Oleaceae
Pharbitis,nil,Ipomoea,nil,Convolvulaceae
Juglans,ailantifolia,Juglans,ailanthifolia,Juglandaceae
Juglans,cinerea,Juglans,cinerea,Juglandaceae
Juglans,regia,Juglans,regia,Juglandaceae
Larix,decudia,Larix,decidua,Pinaceae
Larix,decidua,Larix,decidua,Pinaceae
Liquidambar,styrraciflua,Liquidambar,styraciflua,Altingiaceae
Malus,domestica,Malus,domestica,Rosaceae
Malus,pumila,Malus,pumila,Rosaceae
Olea,europaea,Olea,europaea,Oleaceae
Picea,abies,Picea,abies,Pinaceae
Picea,glauca,Picea,glauca,Pinaceae
Pieris,japonica,Pieris,japonica,Ericaceae
Pinus,nigra,Pinus,nigra,Pinaceae
Pinus,strobus,Pinus,strobus,Pinaceae
Pinus,sylvestris,Pinus,sylvestris,Pinaceae
Pinus,wallichiana,Pinus,wallichiana,Pinaceae
Populus,deltoides,Populus,deltoides,Salicaceae
Populus,grandidentata,Populus,grandidentata,Salicaceae
Populus,tremula,Populus,tremula,Salicaceae
Populus,trichocarpa,Populus,trichocarpa,Salicaceae
Prunus,avium,Prunus,avium,Rosaceae
Prunus,padus,Prunus,padus,Rosaceae
Prunus,persica,Prunus,persica,Rosaceae
Prunus,serotina,Prunus,serotina,Rosaceae
Pseudotsuga,menziesii,Pseudotsuga,menziesii,Pinaceae
Pseduotsuga,menziesii,Pseudotsuga,menziesii,Pinaceae
Pyrus,communis,Pyrus,nivalis,Rosaceae
Pyrus,pyrifolia,Pyrus,pyrifolia,Rosaceae
Quercus,bicolor,Quercus,bicolor,Fagaceae
Quercus,coccifera,Quercus,coccifera,Fagaceae
Quercus,faginea,Quercus,faginea,Fagaceae
Quercus,faginea,Quercus,faginea,Fagaceae
Quercus,ilex,Quercus,ilex,Fagaceae
Quercus,patraea,Quercus,petraea,Fagaceae
Quercus,petraea,Quercus,petraea,Fagaceae
Quercus,pubescens,Quercus,pubescens,Fagaceae
Quercus,robur,Quercus,robur,Fagaceae
Quercus,rubra,Quercus,rubra,Fagaceae
Rhododendron,NA,Rhododendron,sp,Ericaceae
Ribes,nigrum,Ribes,nigrum,Grossulariaceae
Robinia,pseudoacacia,Robinia,pseudoacacia,Leguminosae
Salix,smithiana,Salix,smithiana,Salicaceae
Silene,coeli-rosa,Silene,coeli-rosa,Caryophyllaceae
Sinapis,alba,Sinapis,alba,Brassicaceae
Sorbus,aucuparia,Sorbus,aucuparia,Rosaceae
Sorbus,aucuparia,Sorbus,aucuparia,Rosaceae
Sorbus,commixta,Sorbus,commixta,Rosaceae
Sorbus,intermedia,Sorbus,intermedia,Rosaceae,
Sorbus,intermedia,Sorbus,intermedia,Rosaceae,
Sorghum,bicolor,Sorghum,bicolor,Poaceae,
Symphoricarpos,albus,Symphoricarpos,albus,Caprifoliaceae,
Syringa,vulgaris,Syringa,vulgaris,Oleaceae,
Tilia,cordata,Tilia,cordata,Malvaceae,
Ulmus,glabra,Ulmus,glabra,Ulmaceae,
Ulmus,macrocarpa,Ulmus,macrocarpa,Ulmaceae,
Ulmus,minor,Ulmus,minor,Ulmaceae,
Ulmus,parvifolia,Ulmus,parvifolia,Ulmaceae,
Ulmus,pumila,Ulmus,pumila,Ulmaceae,
Ulmus,villosa,Ulmus,villosa,Ulmaceae,
(Vaccinium,corymbosum,Vaccinium,corymbosum,Ericaceae,
Vitis,vinifera,Vitis,vinifera,Vitaceae,
Schlumbergera,sp,,,Cactaceae,"cactus, non-woody"
Rosa,spp,Rosa,spp,Rosaceae,
Juglans,spp,Juglans,spp,Juglandaceae
