"datasetIDlatlong","Chilling_Hours","Utah_Model","Chill_portions"
"basler12.46.2.7.033.",2291,2219.5,133.762425634998
"basler12.46.85.9.53.",1929,1742.5,125.895151256665
"basler14.46.315.8.265.2010-01-27",1082,1151,57.8878203695237
"basler14.46.315.8.265.2010-03-02",1082,1151,57.95918892335
"basler14.46.315.8.265.2010-03-31",1214,1191,69.84170894903
"cannell83.55.333.-3.44.",3473,3134.5,160.583776957835
"cannell83.57.683.-3.497.",3394,3643.5,168.960359983754
"charrier11.45.7722.3.14722.",2493,2991,156.259722813681
"charrier11.45.71944444.3.016666667.",2621,2677.5,148.814496762046
"dantec14.43.75.0.22.2010-10-15",36,-307,3.01348696861544
"dantec14.42.87.0.12.2010-10-15",454,682.5,31.3672096245339
"dantec14.42.88.0.1.2010-10-15",454,682.5,31.3672096245339
"falusi97.43.82.11.96.1993-09-18",0,-124,0
"falusi97.39.15.16.59.1993-09-18",0,-137,0
"falusi97.43.82.11.96.1993-10-21",15,-199.5,7.03465282294179
"falusi97.39.15.16.59.1993-10-21",0,-369.5,4.03856046106153
"falusi97.43.82.11.96.1993-12-24",719,804,53.9192816233778
"falusi97.39.15.16.59.1993-12-24",681,786,52.9093788788291
"falusi97.43.8.11.82.1994-09-18",0,-244,0
"falusi97.43.8.11.82.1995-01-06",802,841,63.7865004709243
"fu13.51.317.4.35.2010-12-01",429,767,42.7987702174968
"fu13.51.317.4.35.2010-12-01",636,877.5,46.2764936383693
"fu13.51.317.4.35.2011-12-01",636,877.5,45.2821253329653
"fu13.51.317.4.35.2011-12-01",462,589.5,38.7429855187124
"ghelardini10.49.0.5.",2141,3327.5,159.803016665503
"ghelardini10.43.1.17.",2895,3110,158.791966488886
"ghelardini10.43.71667.11.36667.",1854,1898,122.61768402402
"gomory15.48.8877.19.5282.2011-04-10",1937,1978,123.691743692206
"gomory15.48.8877.19.5282.2011-04-01",1820,1838,116.228165059446
"gomory15.48.8877.19.5282.2011-03-01",1516,1578.5,96.8615592258703
"granhus09.60.58.11.",1703,1537,112.597343041846
"guerriero90.43.706.10.331.1989-12-05",356,69,29.9190168707754
"guerriero90.43.706.10.331.1989-12-20",471,225,37.0620422427448
"guerriero90.43.706.10.331.1990-01-05",639,419,48.4254552179081
"guerriero90.43.706.10.331.1990-01-19",802,587,57.8558828893011
"guerriero90.43.706.10.331.1990-02-03",886,760.5,67.5658546158639
"guerriero90.43.706.10.331.1990-02-18",1025,948.5,77.6108029171329
"heide01.59.666.11.333.1999-09-30",21,68.5,10.0515994464467
"heide07.59.666.10.75.2004-08-01",0,5.5,0
"heide07.64.5.11.583.2004-08-01",0,7.5,0
"heide07.69.916.23.2004-08-01",8,15.5,0
"heide07.60.583.7.833.2004-08-01",24,24,0
"heide07.60.166.6.583.2004-08-01",13,24,0
"heide07.68.833.13.416.2004-08-01",NA,NA,NA
"heide08.48.396.11.725.2003-04-24",2308,2289,137.639884170353
"heide08.50.578.8.679.2003-04-24",2386,2757.5,143.594891702322
"heide08.51.285.0.436.2003-04-24",2290,3269.5,158.613388379017
"heide08.59.5.10.745.2003-04-24",NA,NA,NA
"heide12.56.5.-3.062.2012-02-15",1690,2184,110.16519728762
"heide12.56.5.-3.062.2012-03-01",1825,2448.5,121.729131062032
"heide12.59.666.10.792.2012-03-01",1685,1743,97.8911350520653
"heide15.56.5.-3.062.2014-10-29",320,876,40.4774613607334
"heide15.56.5.-3.062.2014-10-29",153,447,28.6808316086807
"heide77.56.074.9.379.",2719,2645.5,145.717200888291
"heide77.61.039.9.549.",1485,1181,94.3147545862347
"heide77.50.828.10.365.",2642,2042.5,133.437456444754
"heide77.61.923.12.375.",1382,1234,97.9848838844665
"heide93.59.5.10.767.1989-11-15",612,1188,52.5136818447554
"heide93.59.5.10.767.1989-12-15",921,1359.5,68.0181035328633
"heide93.59.5.10.767.1990-01-15",1282,1582,85.0812382884263
"heide93.59.5.10.767.1990-02-15",1969,2132,107.584736755699
"heide93.59.5.10.767.1990-03-15",2446,2580,127.440722336576
"heide93.59.5.10.767.1990-11-15",703,1047.5,52.752552487852
"heide93.59.5.10.767.1990-12-15",1020,1246.5,65.155060245234
"heide93.59.5.10.767.1991-01-15",1442,1448.5,80.6528891925807
"heide93.59.5.10.767.1991-02-15",1549,1495,88.4279462013363
"heide93.59.5.10.767.1991-03-15",1945,1638,105.854736752782
"heide93a.59.67.10.83.1991-10-15",240,531.5,27.9422223284866
"heide93a.59.67.10.83.1991-11-15",807,1106.5,50.7279577479446
"heide93a.59.67.10.83.1991-12-15",1237,1460,70.3566690658031
"heide93a.59.67.10.83.1992-01-15",1698,1749.5,89.2112186786718
"heide93a.59.67.10.83.1992-02-15",2037,1958,106.202552468281
"heide93a.59.67.10.83.1992-03-15",2509,2320.5,124.630669027793
"heide93a.59.67.10.83.1991-03-15",1743,1528,104.368517013369
"heide93a.47.5.7.6.1992-03-15",1916,1604,107.809247512699
"heide93a.49.3.22.5.1992-03-15",1464,1169.5,85.6402107909988
"heide93a.55.75.12.5.1992-03-15",2722,2874.5,125.130269145537
"jones12.56.46.-3.061.2007-10-18",178,405,24.0439544726678
"jones12.51.451.-1.471.2007-10-18",50,173,17.5566937966626
"jones12.56.5.-3.062.2007-10-18",178,405,24.0439544726678
"jones12.59.666.10.792.2007-10-18",287,600.5,30.530213367682
"jones12.56.46124.-3.059781.2007-10-18",178,405,24.0439544726678
"jones12.47.163.2.571.2007-10-18",49,-31.5,10.6905083587945
"jones12.62.393.26.387.2007-10-18",425,761,35.1686603460766
"jones12.56.46124.-3.059781.2008-10-02",63,261,16.158855967504
"junttila12.67.05.15.033.",1905,1545,113.946874706756
"junttila12.59.783.9.417.",1553,1149.5,93.4432961122742
"junttila12.70.65.23.95.",1905,1289,105.067447512357
"junttila12.68.85.19.49.",749,633.5,48.1260832299559
"kinet93.50.582.5.559.1992-12-01",700,1136,52.1695417335237
"kinet93.50.582.5.559.1992-08-30",0,4,0
"kronenberg76.51.984.5.665.1971-10-06",211,230,16.3630515574952
"kronenberg76.51.984.5.665.1972-09-27",165,281.5,14.5683548795487
"laube14b.48.403008.11.711811.",2376,2248.5,134.694322327027
"li05.68.85.19.49.",1048,692,73.7273580722928
"li05.67.7333.24.85.",1304,988,85.2053359154319
"li05.63.233.26.12.",1851,1543,109.964152654737
"li05.58.167.25.533.",2337,1972,119.805458081368
"lieten95.4.803.51.473.1991-12-04",NA,NA,NA
"lieten97.51.473.4.804.1994-12-10",531,1048.5,58.5517903963606
"linkosalo06.60.17.24.95.",2373,2167,126.649231490691
"morin10.52.53.14.73.",2499,2433,141.767855160283
"morin10.52.53.14.73.2004-01-01",1313,1357,71.891477074797
"morin10.45.5.2.55.2004-01-01",1200,1422.5,70.4676078841287
"morin10.42.6.-1.97.2004-01-01",849,905,57.1227861922555
"myking97.59.667.10.767.",1653,1541.5,112.373136174085
"myking98.59.67.10.83.1996-11-15",648,1141.5,50.0525781045673
"myking98.59.67.10.83.1996-12-15",1012,1369.5,65.9580669641355
"myking98.59.67.10.83.1997-01-15",1080,1408,74.7118573047274
"myking98.59.67.10.83.1997-02-15",1502,1624,90.219698352078
"myking98.59.67.10.83.1997-03-15",1931,1992,109.006228582851
"myking98.59.67.10.83.1997-04-15",2342,2370,129.134775517911
"nienstaedt66.47.5.13.1958-11-28",856,884,54.6829704491476
"nienstaedt66.53.60.1958-11-28",674,668,46.957004712649
"pagter15.59.35.18.067.2012-11-15",593,984,49.9728033851076
"pagter15.64.11.5.2012-11-15",NA,NA,NA
"pagter15.59.35.18.067.2012-12-15",917,1293,60.037185957664
"pagter15.64.11.5.2012-12-15",NA,NA,NA
"pagter15.59.35.18.067.2013-01-15",1203,1412,71.7408762999068
"pagter15.64.11.5.2013-01-15",NA,NA,NA
"pagter15.59.35.18.067.2013-02-15",1376,1489.5,81.6832115795244
