"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188695,NA,"",834,"Sample ID","Number","44","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188696,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188698,NA,"",193,"Vegetation type / Biome","Biome","temperate_boreal","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188699,NA,"",449,"Location Region","Region","Scandinavia","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188700,NA,"",1412,"Location Country","Country","Finland","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188701,NA,"",398,"Measurement method 1: method of sampling and measurement","Sample preparation method","oven_dried_105","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188702,NA,"",113,"Reference / source / PI","Ref","Laiho, R. & Laine, J. , Tree stand biomass and carbon content in an age sequence of drained pin ...","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Betula pubescens",7359,"Betula pubescens",2474432,20188703,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","leaf carbon content (% mass basis)","52.1","%","Single",NA,"",NA,521,"mg/g",NA,NA,1.15975
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188794,NA,"",834,"Sample ID","Number","213","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188795,NA,"",846,"Family","Family","Pinaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188797,NA,"",193,"Vegetation type / Biome","Biome","temperate_boreal","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188798,NA,"",449,"Location Region","Region","Scandinavia","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188799,NA,"",1412,"Location Country","Country","Finland","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188800,NA,"",398,"Measurement method 1: method of sampling and measurement","Sample preparation method","oven_dried_105","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188801,NA,"",113,"Reference / source / PI","Ref","Laiho, R. & Laine, J. , Tree stand biomass and carbon content in an age sequence of drained pin ...","","",NA,"",NA,NA,"",NA,NA,NA
"Martin","Adam",313,"Wood carbon content database","Picea abies",41907,"Picea abies",2474443,20188802,13,"Leaf carbon (C) content per leaf dry mass",14,"Leaf carbon content per dry mass","leaf carbon content (% mass basis)","54","%","Single",NA,"",NA,540,"mg/g",NA,NA,2.32065
