"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","29.13","27.85","30.49","25.09","32.93"
"$\mu_{forcing}$","-4.33","-5.15","-3.5","-6.8","-1.87"
"$\mu_{photoperiod}$","-2.28","-3.28","-1.31","-5.11","0.74"
"$\mu_{chilling}$","-8.18","-9.21","-7.15","-11.31","-5.05"
"$\mu_{latitude}$","-2.85","-4.34","-1.34","-7.43","1.6"
"$\mu_{photo:latitude}$","3.35","2.01","4.67","-0.62","7.42"
"$\sigma_{\alpha}$","8.86","7.77","9.8","6.23","12.34"
"$\sigma_{forcing}$","6","5.2","6.69","4.18","8.43"
"$\sigma_{photoperiod}$","5.34","4.45","6.09","3.33","8.11"
"$\sigma_{chilling}$","6.82","5.96","7.55","4.8","9.52"
"$\sigma_{latitude}$","8.1","6.44","9.5","4.21","13.3"
"$\sigma_{photo:latitude}$","6.79","5.37","7.95","3.63","11.19"
"$\sigma_{y}$","15.44","15.25","15.63","14.9","16.01"
"$N_{sp}$","36","","","",""
