"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Plant height observed","Root collar diameter","Stem diameter"
"1","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","48","11.9","8.1"
"2","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","54","10.9","6"
"3","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","50.3","9.7","5.5"
"4","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","34","9.8","6"
"5","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","49.7","10.2","6"
"6","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","32.3","6.7","3.7"
"7","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","49.8","11.9","6.2"
"8","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","45.7","9.5","5.4"
"9","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","45.6","10.2","5.2"
"10","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","36.3","9.1","7.5"
"11","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","41.6","11.1","7.1"
"12","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","35.3","8","4.4"
"13","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","36","10.2","6.8"
"14","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","44.5","9.4","6.8"
"15","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","56.8","12.3","5.5"
"16","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","43","10.7","8.5"
"17","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","35.9","10.1","7.5"
"18","Ammer","Christian",376,"Biomass allocation in beech and spruce seedlings","Picea abies","37.5","11.1","8.6"
