"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Latitude","Leaf carbon content per dry mass","Longitude","Plant developmental status / plant age / maturity / plant life stage","Stomata conductance to water vapour per leaf area","Stomata density","Stomata length"
"1","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"243.6816821",NA
"2","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"187.9830119",NA
"3","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"229.7570146",NA
"4","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"222.7946808",NA
"5","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"208.8700132",NA
"6","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"160.1336768",NA
"7","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"208.8700132",NA
"8","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"222.7946808",NA
"9","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"208.8700132",NA
"10","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"222.7946808",NA
"11","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"194.9453457",NA
"12","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"215.832347",NA
"13","Verheyen","Kris",217,"Canopy Traits for Temperate Tree Species Under High N-Deposition","Betula pendula","50.97",NA,"-3.82","juvenil (3 years)",NA,"222.7946808",NA
