"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Daytime stomata conductance","Latitude","Longitude","Photosynthesis per leaf area at leaf temperature (A_area)","Soil moisture at 45 cm","Soil moisture at 60 cm","Soil moisture from 0-10 cm","Soil moisture from 0-30 cm"
"1","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0806","42.38","-71.23","9.91","0.093","0.138","0.1","0.114"
"2","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0507","42.38","-71.23","4.23","0.065","0.085","0.065","0.097"
"3","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0899","42.38","-71.23","9.64","0.093","0.138","0.1","0.114"
"4","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0453","42.38","-71.23","4.61","0.065","0.085","0.065","0.097"
"5","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0116","42.38","-71.23","0.657","0.074","0.094","0.016","0.082"
"6","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0235","42.38","-71.23","2.5","0.066",NA,"0.054","0.077"
"7","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0515","42.38","-71.23","3.22","0.136","0.129","0.057","0.138"
"8","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.106","42.38","-71.23","10.1","0.126","0.116","0.117","0.143"
"9","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0923","42.38","-71.23","8.85","0.163","0.101","0.115","0.162"
"10","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0749","42.38","-71.23","7.08","0.163","0.101","0.115","0.162"
"11","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0511","42.38","-71.23","3.19","0.136","0.129","0.057","0.138"
"12","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0517","42.38","-71.23","5.68","0.09",NA,"0.116","0.113"
"13","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0875","42.38","-71.23","8.21","0.09",NA,"0.116","0.113"
"14","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0625","42.38","-71.23","3.08","0.187","0.113","0.076","0.162"
"15","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0828","42.38","-71.23","3.97","0.187","0.113","0.076","0.162"
"16","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0241","42.38","-71.23","0.356","0.079","0.084","0.07","0.083"
"17","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0843","42.38","-71.23","9.72","0.114","0.126","0.139","0.165"
"18","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0374","42.38","-71.23","2.54","0.079","0.084","0.07","0.083"
"19","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0251","42.38","-71.23","4.45","0.084","0.076","0.073","0.129"
"20","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0343","42.38","-71.23","1.85","0.121","0.136","0.055","0.135"
"21","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.00991","42.38","-71.23","1.2","0.121","0.136","0.055","0.135"
"22","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0123","42.38","-71.23","1.01","0.06","0.093","0.043","0.081"
"23","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.112","42.38","-71.23","9.75","0.114","0.117","0.122","0.09"
"24","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0791","42.38","-71.23","1.35","0.141","0.139","0.069","0.08"
"25","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.125","42.38","-71.23","8.56","0.161","0.132","0.117","0.152"
"26","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.104","42.38","-71.23","8.34","0.114","0.117","0.122","0.09"
"27","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0533","42.38","-71.23","6.8","0.07",NA,"0.122","0.129"
"28","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.167","42.38","-71.23","9.33","0.161","0.132","0.117","0.152"
"29","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0193","42.38","-71.23","3.07","0.092",NA,"0.052","0.103"
"30","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0401","42.38","-71.23","5.94","0.07",NA,"0.122","0.129"
"31","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.133","42.38","-71.23","4.45","0.196","0.144","0.079","0.143"
"32","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.00966","42.38","-71.23","0.978","0.075","0.081","0.008","0.06"
"33","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.109","42.38","-71.23","11.7",NA,"3.103","0.121","0.145"
"34","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0595","42.38","-71.23","7.58",NA,"2.103","0.121","0.145"
"35","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0169","42.38","-71.23","0.78",NA,NA,"0.043","0.088"
"36","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.058","42.38","-71.23","4.63","0.093","0.106","0.178","0.178"
"37","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0311","42.38","-71.23","2.19",NA,NA,"0.043","0.088"
"38","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0296","42.38","-71.23","2.62","0.102","0.146","0.173","0.132"
"39","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0403","42.38","-71.23","2.82","0.102","0.146","0.173","0.132"
"40","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0487","42.38","-71.23","2.2","0.093","0.093","0.018","0.078"
"41","Smith","Nick",213,"Day and Night Gas Exchange of Deciduous Tree Seedlings in Response to Experimental Warming and Preci","Betula lenta","0.0263","42.38","-71.23","1.01","0.113","0.124","0.077","0.091"
