"LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Latitude","Longitude","Trait","value"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Abies alba",2501831,"51.15","18.06","Photosynthesis per leaf area at leaf temperature (A_area)","5.31918702"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer pensylvanicum",2501142,"42.53","-72.18","Photosynthesis per leaf area at leaf temperature (A_area)","9.9"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer pseudoplatanus",2500576,"51.09","10.52","Photosynthesis per leaf area at leaf temperature (A_area)","5.1"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer pseudoplatanus",2500580,"51.09","10.52","Photosynthesis per leaf area at leaf temperature (A_area)","12.5"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer pseudoplatanus",2500588,"51.09","10.52","Photosynthesis per leaf area at leaf temperature (A_area)","6.4"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer pseudoplatanus",2501833,"51.15","18.06","Photosynthesis per leaf area at leaf temperature (A_area)","4.4"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500410,"40.8144444","-77.930556","Photosynthesis per leaf area at leaf temperature (A_area)","3.95"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500510,"41.4","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","8.21"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500511,"41.4","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","8.25"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500512,"41.4","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","6.76"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500513,"41.4","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","11.1"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500514,"41.4","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","9.8"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500515,"41.4","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","8.5"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500522,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","3.63"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500523,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","3.63"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500566,"41.75","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","11.1"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500569,"41.75","-74.02","Photosynthesis per leaf area at leaf temperature (A_area)","8.2"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500752,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","4.4"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500753,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","3.2"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500754,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","4.6"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500755,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","6.2"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500756,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","3.4"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2500757,"35.97","-79.09","Photosynthesis per leaf area at leaf temperature (A_area)","3"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2501140,"42.53","-72.18","Photosynthesis per leaf area at leaf temperature (A_area)","12.9"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2501621,"45.56","-84.78","Photosynthesis per leaf area at leaf temperature (A_area)","8.288"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2502069,"35.5","-83.5","Photosynthesis per leaf area at leaf temperature (A_area)","7.7"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2502102,"42.5","-90","Photosynthesis per leaf area at leaf temperature (A_area)","6.5"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer rubrum",2502216,"45.32","-75.59","Photosynthesis per leaf area at leaf temperature (A_area)","5.946846"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer saccharum",2500407,"44.8","-72.983333","Photosynthesis per leaf area at leaf temperature (A_area)","14.4"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer saccharum",2500408,"44.8","-72.983333","Photosynthesis per leaf area at leaf temperature (A_area)","14.1"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer saccharum",2501141,"42.53","-72.18","Photosynthesis per leaf area at leaf temperature (A_area)","6.9"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer saccharum",2501335,"45.4986","-89.6356","Photosynthesis per leaf area at leaf temperature (A_area)","6.5"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer saccharum",2501622,"45.56","-84.78","Photosynthesis per leaf area at leaf temperature (A_area)","5.059"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Acer saccharum",2502103,"42.5","-90","Photosynthesis per leaf area at leaf temperature (A_area)","7.6"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Alnus glutinosa",2500450,"51.25","17.07","Photosynthesis per leaf area at leaf temperature (A_area)","6"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Alnus incana",2500451,"51.25","17.07","Photosynthesis per leaf area at leaf temperature (A_area)","7.2"
"Maire","Vincent",342,"Photosynthesis Traits Worldwide","Betula papyrifera",2501133,"42.53","-72.18","Photosynthesis per leaf area at leaf temperature (A_area)","19.3"
