"datasetID","genus","species","provenance.lat","provenance.long","prov","sample","force","photo","chill","spp"
"falusi96","Fagus","sylvatica",43.81666667,11.964,5,"1","3","4",1,"1"
"falusi96","Fagus","sylvatica",42.05,14.02,5,"1","3","4",1,"1"
"falusi96","Fagus","sylvatica",38.26666667,15.988,5,"1","3","4",1,"1"
"falusi96","Fagus","sylvatica",43.8,11.81,5,"1","3","4",1,"1"
"falusi96","Fagus","sylvatica",38.2666,15.988,5,"1","3","4",1,"1"
"falusi97","Fagus","sylvatica",43.82,11.96,3,"5","2","1",3,"1"
"falusi97","Fagus","sylvatica",39.15,16.59,3,"5","2","1",3,"1"
"falusi97","Fagus","sylvatica",43.8,11.82,3,"5","2","1",3,"1"
"jones12","Ribes","nigrum",56.46124,-3.059781,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",51.451,-1.471,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",56.5,-3.062,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",56.46,-3.061,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",59.666,10.792,5,"2","1","1",10,"1"
"junttila12","Betula","pendula",67.05,15.033,2,"1","3","1",1,"3"
"junttila12","Betula","pendula",59.783,9.417,2,"1","3","1",1,"3"
"junttila12","Betula","pubescens",70.65,23.95,2,"1","3","1",1,"3"
"junttila12","Betula","pubescens",59.783,9.417,2,"1","3","1",1,"3"
"junttila12","Betula","pendula,pubescens",59.783,9.417,2,"1","5","1",4,"3"
"junttila12","Betula","pendula,pubescens",68.85,19.49,2,"1","5","1",4,"3"
"li05","Betula","pendula",67.7333,24.85,3,"1","1","1",2,"1"
"li05","Betula","pendula",63.233,26.12,3,"1","1","1",2,"1"
"li05","Betula","pendula",58.167,25.533,3,"1","1","1",2,"1"
"basler12","Acer","pseudoplatanus",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Acer","pseudoplatanus",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Betula","pendula",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Betula","pendula",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Aesculus","hippocastanum",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Aesculus","hippocastanum",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Syringa","vulgaris",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Syringa","vulgaris",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Corylus","avellana",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Corylus","avellana",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Fraxinus","excelsior",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Fraxinus","excelsior",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Fagus","sylvatica",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Fagus","sylvatica",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Picea","abies",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Picea","abies",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Larix","decidua",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Larix","decidua",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Prunus","avium",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Prunus","avium",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Quercus","patraea",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Quercus","patraea",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Tilia","cordata",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Tilia","cordata",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Sorbus","aucuparia",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Sorbus","aucuparia",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Abies","alba",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Abies","alba",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Quercus","petraea",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Quercus","petraea",46.85,9.53,2,"1","1","2",2,"15"
"cannell83","Picea","sitchensis",55.333,-3.44,2,"1","1","1",1,"1"
"cannell83","Picea","sitchensis",57.683,-3.497,2,"1","1","1",1,"1"
"charrier11","Juglans","spp",45.7722,3.14722,2,"2","5","1",1,"1"
"charrier11","Juglans","spp",45.71944444,3.016666667,2,"2","5","1",1,"1"
"hawkins12","Betula","papyrifera",49.25,117.17,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",49.63,116.05,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",50.07,117.38,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",51.37,118.3,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",50.57,118.83,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",50.77,119.53,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",50.82,119.75,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",52.52,122.4,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",52.52,121.52,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",52.78,112.23,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",53.78,112.63,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",53.92,122.37,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",54.1,122.35,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",54.13,121.78,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",54.5,128.57,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",54.7,128.27,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",55.13,427.78,17,"1","1","2",3,"1"
"hawkins12","Betula","papyrifera",55.18,127.78,17,"1","1","2",3,"1"
"heide05","Pyrus","communis L.",47.881,40.067,3,"1","4","2",1,"2"
"heide05","Pyrus","communis L.",55.657,13.082,3,"1","4","2",1,"2"
"heide08","Prunus","insititia",48.396,11.725,2,"1","4","2",1,"3"
"heide08","Prunus","cerasus",48.396,11.725,2,"1","4","2",1,"3"
"heide08","Prunus","cerasus",50.578,8.679,2,"1","4","2",1,"3"
"heide08","Prunus","insititia",51.285,0.436,2,"1","4","2",1,"3"
"heide12","Ribes","nigrum",56.5,-3.062,3,"2","5","2",4,"1"
"heide12","Ribes","nigrum",59.666,10.792,3,"2","5","2",4,"1"
"heide12","Ribes","nigrum",67.5,33.38,3,"2","5","2",4,"1"
"heide93a","Fagus","sylvatica",59.67,10.83,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",47.5,7.6,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",49.3,22.5,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",55.75,12.5,4,"7","3","6",8,"2"
"karlsson03","Betula","occidentalis",68.34,18.832,2,"5","3","1",10,"1"
"karlsson03","Betula","occidentalis",69.75,27.02,2,"5","3","1",10,"1"
"myking95","Betula","pubescens",64,11.5,3,"1","1","2",5,"2"
"myking95","Betula","pendula",64,11.5,3,"1","1","2",5,"2"
"myking95","Betula","pubescens",56.1,9.15,3,"1","1","2",5,"2"
"myking95","Betula","pubescens",69,18.6,3,"1","1","2",5,"2"
"myking95","Betula","pendula",56.1,9.15,3,"1","1","2",5,"2"
"myking95","Betula","pendula",69,18.6,3,"1","1","2",5,"2"
"nienstaedt66","Picea","jezoensis",43.833,141.833,3,"1","1","2",5,"7"
"nienstaedt66","Picea","abies",53,60,2,"1","1","2",5,"7"
"nienstaedt66","Picea","abies",47.5,13,2,"1","1","2",5,"7"
"nienstaedt66","Picea","jezoensis",43.666,143.2,3,"1","1","2",5,"7"
"nienstaedt66","Picea","jezoensis",36.5,128.333,3,"1","1","2",5,"7"
"pagter15","Ribes","nigrum",59.35,18.067,2,"4","1","1",5,"1"
"pagter15","Ribes","nigrum",64,11.5,2,"4","1","1",5,"1"
"partanen01","Picea","abies",61.93333333,26.68333333,3,"1","1","2",1,"1"
"partanen01","Picea","abies",61.08333333,24,3,"1","1","2",1,"1"
"partanen01","Picea","abies",60.78333333,27.5,3,"1","1","2",1,"1"
"partanen98","Picea","abies",60.03333,23.05,3,"4","3","10",7,"1"
"partanen98","Picea","abies",64.85,29.583,3,"4","3","10",7,"1"
"partanen98","Picea","abies",60.35,24.983,3,"4","3","10",7,"1"
"skre08","Betula","pubescens",59.75,9.46667,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",64.517928,21.892008,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",68.50121,14.800709,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",69.45,27,5,"2","1","1",3,"1"
"skre08","Betula","pubescens",70.66667,23.68333,5,"2","1","1",3,"1"
"skuterud94","Betula","pendula",60.5,10.167,3,"1","4","2",13,"1"
"skuterud94","Betula","pendula",61.5,24.333,3,"1","4","2",13,"1"
"skuterud94","Betula","pendula",61.5,24.33,3,"1","4","2",13,"1"
"skuterud94","Betula","pendula",60.5,10.166,3,"1","4","2",13,"1"
"skuterud94","Betula","pendula",59.666,11.33,3,"1","4","2",13,"1"
"skuterud94","Betula","pendula",59.666,11.333,3,"1","4","2",13,"1"
"sonsteby13","Ribes","nigrum",56.5,-3.062,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",59.666,10.792,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",51.966,20.154,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",67.5,33.38,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",65.666,22.156,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",65.3426,21.397,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",52,20.151,8,"1","1","1",1,"1"
"sonsteby13","Ribes","nigrum",56.16,14.16,8,"1","1","1",1,"1"
"sonsteby14","Ribes","nigrum",56.5,-3.062,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",59.666,10.792,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",67.5,33.38,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",65.3426,21.397,5,"5","2","1",17,"1"
"sonsteby14","Ribes","nigrum",51.966,20.154,5,"5","2","1",17,"1"
"viheraaarnio06","Betula","pendula",67.73,24.93,2,"3","1","9",3,"1"
"viheraaarnio06","Betula","pendula",60.45,24.93,2,"3","1","9",3,"1"
