"datasetID","genus","species","provenance.lat","provenance.long","prov","sample","force","photo","chill","spp"
"falusi97","Fagus","sylvatica",43.82,11.96,3,"5","2","1",3,"1"
"falusi97","Fagus","sylvatica",39.15,16.59,3,"5","2","1",3,"1"
"falusi97","Fagus","sylvatica",43.8,11.82,3,"5","2","1",3,"1"
"jones12","Ribes","nigrum",56.46124,-3.059781,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",51.451,-1.471,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",56.5,-3.062,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",56.46,-3.061,5,"2","1","1",10,"1"
"jones12","Ribes","nigrum",59.666,10.792,5,"2","1","1",10,"1"
"junttila12","Betula","pendula",67.05,15.033,2,"1","3","1",1,"3"
"junttila12","Betula","pendula",59.783,9.417,2,"1","3","1",1,"3"
"junttila12","Betula","pubescens",70.65,23.95,2,"1","3","1",1,"3"
"junttila12","Betula","pubescens",59.783,9.417,2,"1","3","1",1,"3"
"junttila12","Betula","pendula,pubescens",59.783,9.417,2,"1","5","1",4,"3"
"junttila12","Betula","pendula,pubescens",68.85,19.49,2,"1","5","1",4,"3"
"li05","Betula","pendula",67.7333,24.85,3,"1","1","1",2,"1"
"li05","Betula","pendula",63.233,26.12,3,"1","1","1",2,"1"
"li05","Betula","pendula",58.167,25.533,3,"1","1","1",2,"1"
"basler12","Acer","pseudoplatanus",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Acer","pseudoplatanus",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Betula","pendula",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Betula","pendula",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Aesculus","hippocastanum",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Aesculus","hippocastanum",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Syringa","vulgaris",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Syringa","vulgaris",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Corylus","avellana",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Corylus","avellana",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Fraxinus","excelsior",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Fraxinus","excelsior",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Fagus","sylvatica",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Fagus","sylvatica",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Picea","abies",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Picea","abies",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Larix","decidua",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Larix","decidua",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Prunus","avium",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Prunus","avium",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Quercus","patraea",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Quercus","patraea",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Tilia","cordata",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Tilia","cordata",46.85,9.53,2,"1","1","2",2,"15"
