Model,nsps,elpd_diff,se_diff,elpd_loo,se_elpd_loo
mod.sps.interc.slope,52,0.000,0.000,-10944.890,75.627
mod.sps.interc.slope.phy.int,52,-0.090,0.366,-10944.980,75.572
mod.sps.phylo.intercept,52,-217.806,24.087,-11162.696,74.662
mod.sps.intercept,52,-218.150,24.041,-11163.040,74.719
mod.sps.interc.slope.phy.int,117,0.000,0.000,-10951.579,75.858
mod.sps.interc.slope,117,-0.543,0.591,-10952.122,75.803
mod.sps.phylo.intercept,117,-242.375,25.727,-11193.955,75.031
mod.sps.intercept,117,-242.582,25.691,-11194.161,75.097
mod.sps.interc.slope,215,0.000,0.000,-14195.898,89.929
mod.sps.interc.slope.phy.int,215,-1.945,2.411,-14197.843,90.075
mod.sps.phylo.intercept,215,-302.843,27.217,-14498.741,89.759
mod.sps.intercept,215,-305.035,27.306,-14500.933,89.765
