"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Latitude","Longitude","Number of Leaves per plant","Plant developmental status / plant age / maturity / plant life stage","Plant height vegetative","Stem diameter at base (basal diameter)","Treatment exposition"
"1","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650539,"38.43","-81.83","4","juvenile","3","0.8","natural environment"
"2","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650540,"38.43","-81.83","2","juvenile","10","1","natural environment"
"3","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650547,"38.43","-81.83","3","juvenile","5.2","0.9","natural environment"
"4","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650548,"38.43","-81.83","2","juvenile","4.3","0.9","natural environment"
"5","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650635,"38.43","-81.83","4","juvenile","6.2","1.1","natural environment"
"6","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650645,"38.43","-81.83","4","juvenile","3.7","1","natural environment"
"7","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650650,"38.43","-81.83","2","juvenile","5.8","0.8","natural environment"
"8","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650652,"38.43","-81.83","3","juvenile","3.9","0.9","natural environment"
"9","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650679,"38.43","-81.83","2","juvenile","5.1","0.5","natural environment"
"10","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650687,"38.43","-81.83","2","juvenile","3.9","0.9","natural environment"
"11","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650688,"38.43","-81.83","2","juvenile","4.1","0.9","natural environment"
"12","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650700,"38.43","-81.83","2","juvenile","8.2","1.5","natural environment"
"13","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650716,"38.43","-81.83","4","juvenile","0.7","0.9","natural environment"
"14","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650724,"38.43","-81.83","4","juvenile","5.3","0.8","natural environment"
"15","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650732,"38.43","-81.83","3","juvenile","5.2","0.8","natural environment"
"16","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650737,"38.43","-81.83","4","juvenile","4.3","1","natural environment"
"17","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650738,"38.43","-81.83","3","juvenile","5.8","0.9","natural environment"
"18","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650766,"38.43","-81.83","2","juvenile","2.4","0.8","natural environment"
"19","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650816,"38.43","-81.83","2","juvenile","8.3","1.4","natural environment"
"20","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650823,"38.43","-81.83","2","juvenile","7.4","1","natural environment"
"21","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650829,"38.43","-81.83",NA,"juvenile",NA,"1","natural environment"
"22","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650909,"38.43","-81.83","2","juvenile","4.3","1.1","natural environment"
"23","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650912,"38.43","-81.83","4","juvenile","0.5","1.1","natural environment"
"24","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650937,"38.43","-81.83","3","juvenile","2.3","1.1","natural environment"
"25","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650938,"38.43","-81.83","4","juvenile","2","1.1","natural environment"
"26","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650945,"38.43","-81.83","2","juvenile","3.5","1.3","natural environment"
"27","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650957,"38.43","-81.83","2","juvenile","5.4","1.7","natural environment"
"28","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650965,"38.43","-81.83","4","juvenile","3.9","0.9","natural environment"
"29","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650966,"38.43","-81.83","2","juvenile","0.8","0.9","natural environment"
"30","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650976,"38.43","-81.83","3","juvenile","8.3","1.3","natural environment"
"31","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650986,"38.43","-81.83","5","juvenile","4.3","1.8","natural environment"
"32","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650988,"38.43","-81.83","4","juvenile","7","1.2","natural environment"
"33","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650992,"38.43","-81.83","4","juvenile","5.7","1.6","natural environment"
"34","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650998,"38.43","-81.83","3","juvenile","8.5","1.7","natural environment"
"35","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1650999,"38.43","-81.83","2","juvenile","6.5","1.6","natural environment"
"36","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651003,"38.43","-81.83","3","juvenile","7.7","1.2","natural environment"
"37","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651007,"38.43","-81.83",NA,"juvenile",NA,"1.8","natural environment"
"38","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651013,"38.43","-81.83","3","juvenile","3.4","0.7","natural environment"
"39","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651024,"38.43","-81.83","4","juvenile","6","1.4","natural environment"
"40","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651034,"38.43","-81.83","3","juvenile","5.5","0.9","natural environment"
"41","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651036,"38.43","-81.83","3","juvenile","5.6","1.1","natural environment"
"42","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651037,"38.43","-81.83","5","juvenile","9.5","1.1","natural environment"
"43","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651041,"38.43","-81.83","2","juvenile","5.3","1.5","natural environment"
"44","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651048,"38.43","-81.83","2","juvenile","5.8","1.4","natural environment"
"45","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651061,"38.43","-81.83","4","juvenile","5.3","1.4","natural environment"
"46","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651067,"38.43","-81.83","2","juvenile","6.3","1.2","natural environment"
"47","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651071,"38.43","-81.83","2","juvenile","4.5","0.7","natural environment"
"48","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651075,"38.43","-81.83",NA,"juvenile",NA,"1.1","natural environment"
"49","von Holle","Betsy",218,"Plant Traits, Virginia, USA","Acer rubrum",1651082,"38.43","-81.83","5","juvenile","6.1","1","natural environment"
