model,nointer_2level.stan: m2l.ni, winternosp_2level.stan: m2l.winsp,nointer_2level_studyint_ncp.stan,nointer_2level.stan: m2l.ni, winternosp_2level.stan: m2l.winsp,nointer_2level_studyint_ncp.stan
,,,,,,
data info,"exp & ramp, photo &force","exp & ramp, photo &force","exp & ramp, photo &force","exp & ramp, photo &force","exp & ramp, photo &force",
spcomplex,spcomplex.onecue species,spcomplex.onecue species,spcomplex.onecue species,spcomplex.nocrops,spcomplex.nocrops,
diganostics,fine,fine,fine,fine,fine,"fine, 1 interation exceed max tree depth of 10"
model notes,,,,,,
,,,,,,
N,1953,1953,1953,1731,1731,1731
sp_n,41,41,41,35,35,35
study_n,,,38,,,30
preds centered,Y,Y,Y,Y,Y,Y
,,,,,,
mu_a_sp,29.905926,30.1365635,5.625197202,29.83251829,30.04641922,13.00792316
mu_a_study,,,17.19481503,,,12.23426562
mu_b_force_sp,-6.927177,-7.1135538,-5.5921031,-6.17595296,-6.452451995,-5.950646135
mu_b_photo_sp,-1.636154,-1.8028262,-0.432777598,-1.371741475,-1.588308968,-0.403418049
mu_b_chill_sp,-10.184441,-10.4076951,-10.38923035,-9.591333308,-9.405938398,-10.15036036
sigma_a_sp,10.72186,10.614308,9.576301691,10.82053882,10.68739221,9.82257402
sigma_a_study,,,20.33111057,,,19.81735135
sigma_b_force_sp,7.470968,7.097113,0.570497828,6.623611779,6.478587592,0.588436354
sigma_b_photo_sp,5.679576,5.529478,0.346695049,5.706586983,5.506892651,0.356154913
sigma_b_chill_sp,7.07101,6.993658,6.072564166,6.93811587,6.898147551,6.184385926
sigma_y,14.777954,14.687548,12.53663283,14.84063763,14.7374145,12.60940717
alpha,,,8.433447769,,,6.474441568
b_cf,,0.8957597,,,,
b_cp,,1.5957716,,,,
b_fp,,-1.7851355,,,,
,,,,,,
For 41 or fewer species:,,,,,,
a_sp[1],38.38095007,38.46163431,15.50445791,38.50996237,38.55007512,22.71085959
a_sp[2],29.47783442,29.92575428,-0.220706291,28.91158192,28.7857353,6.807918394
a_sp[3],40.13700239,40.36714579,15.6862698,40.13226581,40.23285408,22.8544574
a_sp[4],32.1497898,32.94132221,11.20726063,32.39373437,32.9382821,18.55053938
a_sp[5],22.24698455,21.04487027,7.050157609,32.82512752,32.89458509,13.95198788
a_sp[6],32.77775287,32.90133276,6.948687797,31.40683193,31.14386096,14.47231683
a_sp[7],31.37640062,31.3406661,7.461460129,31.76885834,31.62891007,10.16128391
a_sp[8],31.708954,31.88936252,3.38443462,18.50670014,18.51632682,6.828559019
a_sp[9],33.28809975,33.91148044,5.855373425,17.39330003,17.63304036,7.445643819
