model,m2lni ,m2lni ,m2lni ,m2lni 
,chillports.z,chillports.z,chillports,chillports
data info,exp and ramped fp; all chill,exp and ramped fp; all chill,exp and ramped fp; all chill,exp and ramped fp; all chill
spcomplex,"spcomplex, nocrops","spcomplex, allcrops","spcomplex, nocrops","spcomplex, allcrops"
diganostics,fine,fine,fine,fine
model notes,,,,
,,,,
N,1556,1807,1556,1807
sp_n,37,38,37,38
,,,,
,,,,
,,,,
mu_a_sp,31.66,29.81,68.28,66.14
mu_b_force_sp,-4.47,-3.9,-0.76,-0.66
mu_b_photo_sp,-3.18,-3.7,-0.57,-0.6
mu_b_chill_sp,-9.11,-9.03,-0.27,-0.26
,,,,
sigma_a_sp,10.66,10.56,21.4,23.3
sigma_b_force_sp,6.02,6.49,0.92,1.07
sigma_b_photo_sp,4.16,4.57,0.67,0.7
sigma_b_chill_sp,7.5,7.57,0.18,0.19
sigma_y,15.85,15.43,15.93,15.48
